#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
18426761|2018-03-12T13:34:57.000000|40.82|14.153|0.5|SURVEY-INGV-OV||||Md|0.4|--|6 km SE Pozzuoli (NA)|earthquake
18427761|2018-03-12T13:35:54.000000|40.82|14.15|1.8|SURVEY-INGV-OV||||Md|0.8|--|6 km SE Pozzuoli (NA)|earthquake
18427781|2018-03-12T13:37:16.000000|40.826|14.15|1.6|SURVEY-INGV-OV||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
18426771|2018-03-12T13:38:34.000000|40.825|14.14|1.4|SURVEY-INGV-OV||||Md|0.8|--|5 km SE Pozzuoli (NA)|earthquake
18427791|2018-03-12T13:40:46.000000|40.83|14.148|1.7|SURVEY-INGV-OV||||Md|1.1|--|5 km E Pozzuoli (NA)|earthquake
18426471|2018-03-12T13:41:23.030000|40.842|14.1333|1.0|BULLETIN-INGV||||Md|1.4|--|4 km E Pozzuoli (NA)|earthquake
18426791|2018-03-12T13:42:43.000000|40.83|14.152|1.5|SURVEY-INGV-OV||||Md|0.7|--|5 km E Pozzuoli (NA)|earthquake
18427801|2018-03-12T13:45:37.000000|40.825|14.15|1.5|SURVEY-INGV-OV||||Md|1.3|--|6 km E Pozzuoli (NA)|earthquake
18427811|2018-03-12T13:46:51.000000|40.83|14.14|2.0|SURVEY-INGV-OV||||Md|0.5|--|5 km E Pozzuoli (NA)|earthquake
18427821|2018-03-12T13:47:42.000000|40.829|14.15|1.4|SURVEY-INGV-OV||||Md|0.8|--|5 km E Pozzuoli (NA)|earthquake
18427831|2018-03-12T13:50:14.000000|40.829|14.15|2.8|SURVEY-INGV-OV||||Md|1.4|--|5 km E Pozzuoli (NA)|earthquake
18426821|2018-03-12T13:58:06.000000|40.83|14.149|2.6|SURVEY-INGV-OV||||Md|1.8|--|5 km E Pozzuoli (NA)|earthquake
18427841|2018-03-12T14:06:15.000000|40.831|14.14|1.5|SURVEY-INGV-OV||||Md|0.8|--|4 km E Pozzuoli (NA)|earthquake
18426681|2018-03-12T14:09:06.300000|40.8402|14.1342|1.6|BULLETIN-INGV||||Md|1.8|--|4 km E Pozzuoli (NA)|earthquake
18427851|2018-03-12T14:11:21.000000|40.831|14.15|1.6|SURVEY-INGV-OV||||Md|0.4|--|5 km E Pozzuoli (NA)|earthquake
18427861|2018-03-12T14:21:38.000000|40.831|14.139|1.4|SURVEY-INGV-OV||||Md|0.5|--|4 km E Pozzuoli (NA)|earthquake
18427871|2018-03-12T14:25:43.000000|40.829|14.149|0.9|SURVEY-INGV-OV||||Md|1.2|--|5 km E Pozzuoli (NA)|earthquake
18427881|2018-03-12T14:39:41.000000|40.824|14.15|1.5|SURVEY-INGV-OV||||Md|1.4|--|6 km E Pozzuoli (NA)|earthquake
18427891|2018-03-12T14:44:29.000000|40.827|14.148|1.7|SURVEY-INGV-OV||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
18427901|2018-03-12T14:58:59.000000|40.829|14.14|2.0|SURVEY-INGV-OV||||Md|1.3|--|5 km E Pozzuoli (NA)|earthquake
18427911|2018-03-12T15:03:13.000000|40.827|14.148|1.5|SURVEY-INGV-OV||||Md|0.7|--|5 km E Pozzuoli (NA)|earthquake
18427921|2018-03-12T15:12:46.000000|40.827|14.15|1.8|SURVEY-INGV-OV||||Md|1.4|--|5 km E Pozzuoli (NA)|earthquake
18935231|2018-04-21T04:26:18.000000|40.828|14.138|0.9|SURVEY-INGV-OV||||Md|1.7|--|4 km SE Pozzuoli (NA)|earthquake
19726281|2018-06-14T21:57:37.100000|40.8368|14.1358|0.8|BULLETIN-INGV||||Md|1.3|--|4 km E Pozzuoli (NA)|earthquake
19726411|2018-06-14T22:13:24.030000|40.8383|14.1367|0.6|BULLETIN-INGV||||Md|1.4|--|4 km E Pozzuoli (NA)|earthquake
20682901|2018-09-15T09:23:57.000000|40.811|14.142|3.1|SURVEY-INGV-OV||||Md|1.6|--|Golfo di Napoli e Capri (Napoli)|earthquake
20713961|2018-09-18T21:36:42.790000|40.8447|14.1627|2.3|BULLETIN-INGV||||ML|2.1|--|4 km SE Quarto (NA)|earthquake
20858171|2018-10-08T01:34:45.000000|40.827|14.134|2.6|SURVEY-INGV-OV||||Md|1.5|--|4 km SE Pozzuoli (NA)|earthquake
20888871|2018-10-12T07:43:35.000000|40.836|14.145|1.8|SURVEY-INGV-OV||||Md|2.0|--|5 km E Pozzuoli (NA)|earthquake
21357541|2019-01-10T00:28:11.000000|40.843|14.169|1.6|SURVEY-INGV-OV||||Md|1.9|--|4 km SE Quarto (NA)|earthquake
21843321|2019-03-15T04:26:41.310000|40.841|14.1417|1.7|BULLETIN-INGV||||ML|2.0|--|4 km S Quarto (NA)|earthquake
22006881|2019-04-07T05:51:50.340000|40.8293|14.1405|1.7|BULLETIN-INGV||||Md|0.9|--|5 km E Pozzuoli (NA)|earthquake
22029011|2019-04-10T22:56:47.000000|40.829|14.146|1.6|SURVEY-INGV-OV||||Md|1.8|--|5 km E Pozzuoli (NA)|earthquake
22058971|2019-04-16T10:23:42.170000|40.8232|14.1362|1.8|BULLETIN-INGV||||Md|1.2|--|5 km SE Pozzuoli (NA)|earthquake
22256141|2019-05-13T22:10:29.040000|40.8212|14.1443|1.7|BULLETIN-INGV||||Md|0.5|--|5 km SE Pozzuoli (NA)|earthquake
22320591|2019-05-24T01:59:32.000410|40.8245|14.14017|0.8|SURVEY-INGV-OV||||Md|0.3|--|5 km SE Pozzuoli (NA)|earthquake
22438881|2019-06-12T00:30:45.460000|40.8362|14.0918|1.9|BULLETIN-INGV||||Md|1.7|--|1 km S Pozzuoli (NA)|earthquake
22730571|2019-07-24T06:38:37.000650|40.82217|14.146|1.3|SURVEY-INGV-OV||||Md|1.7|--|5 km SE Pozzuoli (NA)|earthquake
23025521|2019-09-05T04:03:01.000660|40.815|14.10067|4.6|SURVEY-INGV-OV||||Md|1.6|--|Ischia e costa Flegrea (Napoli)|earthquake
23222571|2019-10-05T05:08:37.230000|40.8383|14.1415|1.8|BULLETIN-INGV||||Md|2.3|--|4 km E Pozzuoli (NA)|earthquake
23468521|2019-11-20T03:44:08.000210|40.83083|14.12233|1.7|SURVEY-INGV-OV||||Md|1.7|--|3 km SE Pozzuoli (NA)|earthquake
23542681|2019-12-06T00:17:24.120000|40.8255|14.1523|2.6|BULLETIN-INGV||||ML|2.4|--|6 km E Pozzuoli (NA)|earthquake
23542751|2019-12-06T00:50:50.800000|40.8298|14.1383|2.4|BULLETIN-INGV||||Md|1.4|--|4 km E Pozzuoli (NA)|earthquake
24236231|2020-04-08T00:50:29.860000|40.8278|14.1435|0.8|BULLETIN-INGV||||ML|2.1|--|5 km E Pozzuoli (NA)|earthquake
24246911|2020-04-10T09:49:56.080000|40.8455|14.1288|4.3|BULLETIN-INGV||||ML|1.5|--|3 km E Pozzuoli (NA)|earthquake
24279781|2020-04-17T18:31:01.880000|40.82033|14.13333|0.9|SURVEY-INGV-OV#WinPick||||Md|1.1|--|5 km SE Pozzuoli (NA)|earthquake
24292791|2020-04-20T22:32:09.210000|40.829|14.14533|1.9|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
24317411|2020-04-26T02:16:32.289000|40.82867|14.14767|2.2|SURVEY-INGV-OV||||Md|2.0|--|5 km E Pozzuoli (NA)|earthquake
24317261|2020-04-26T02:26:51.789000|40.82833|14.14817|2.4|SURVEY-INGV-OV||||Md|1.6|--|5 km E Pozzuoli (NA)|earthquake
24317251|2020-04-26T02:41:13.770000|40.8572|14.1507|4.6|BULLETIN-INGV||||ML|1.9|--|2 km S Quarto (NA)|earthquake
24317311|2020-04-26T02:59:02.780000|40.8623|14.1498|3.4|BULLETIN-INGV||||ML|2.4|--|2 km S Quarto (NA)|earthquake
24317701|2020-04-26T03:32:27.279000|40.83133|14.14583|2.5|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
24317801|2020-04-26T03:35:56.539000|40.82867|14.14583|2.7|SURVEY-INGV-OV#WinPick||||Md|1.3|--|5 km E Pozzuoli (NA)|earthquake
24317761|2020-04-26T04:32:25.290000|40.8313|14.1447|2.5|BULLETIN-INGV||||Md|1.5|--|5 km E Pozzuoli (NA)|earthquake
24415911|2020-05-13T18:15:13.690000|40.82467|14.09883|1.6|SURVEY-INGV-OV#WinPick||||Md|1.4|--|Ischia e costa Flegrea (Napoli)|earthquake
24523531|2020-05-28T18:47:30.760000|40.821|14.0965|0.5|BULLETIN-INGV||||Md|1.5|--|Ischia e costa Flegrea (Napoli)|explosion
24665731|2020-06-18T19:25:56.440000|40.831|14.14217|2.8|SURVEY-INGV-OV#WinPick||||Md|1.2|--|5 km E Pozzuoli (NA)|earthquake
24816981|2020-07-11T21:22:37.809000|40.83083|14.15|1.4|SURVEY-INGV-OV#WinPick||||Md|1.1|--|5 km E Pozzuoli (NA)|earthquake
24817011|2020-07-11T21:23:10.779000|40.83083|14.146|1.9|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
24833971|2020-07-14T19:07:08.730000|40.82167|14.13883|0.8|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km SE Pozzuoli (NA)|earthquake
24949401|2020-08-01T03:48:13.619000|40.827|14.14267|1.3|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
25241051|2020-09-10T01:48:31.799000|40.81783|14.12283|1.1|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Ischia e costa Flegrea (Napoli)|earthquake
25241101|2020-09-10T01:48:57.549000|40.81667|14.1235|0.7|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Ischia e costa Flegrea (Napoli)|earthquake
25252611|2020-09-11T17:32:30.549000|40.828|14.14167|0.3|SURVEY-INGV-OV#WinPick||||Md|1.1|--|5 km E Pozzuoli (NA)|earthquake
25293641|2020-09-18T09:10:25.960000|40.8235|14.13467|1.0|SURVEY-INGV-OV#WinPick||||Md|1.2|--|5 km SE Pozzuoli (NA)|earthquake
25293681|2020-09-18T09:28:17.380000|40.82783|14.13367|1.7|SURVEY-INGV-OV#WinPick||||Md|1.2|--|4 km SE Pozzuoli (NA)|earthquake
